номер,сцена,кто,текст,откуда взято,позиция в сведении,"длительность, с"
158,6,Энер,— первая фраза — это «привет».,энер.wav 243.09-244.49,08:40.7,1.40
159,6,Флур,—ааа да ну нафиг,untitled.mp3 190.34-192.16,08:42.4,1.82
160,6,Энер,— …Флур.,энер.wav 246.28-246.83,08:44.6,0.55
161,6,Энер,— смотри на меня…… привет.,энер.wav 248.29-250.70,08:46.0,2.41
162,6,Флур,— …привет.,untitled.mp3 193.22-193.96,08:48.7,0.74
163,6,Энер,— видишь? не умер.,энер.wav 251.80-253.18,08:49.8,1.38
164,6,Флур,— ты — это не полный зал.,untitled.mp3 194.98-196.47,08:51.5,1.49
165,6,Энер,— я громче пятидесяти человек.,энер.wav 253.98-255.80,08:53.4,1.82
166,6,Кэфи,— это правда.,кэфи.mp3 158.11-159.08,08:55.7,0.97
167,6,Энер,"— СПАСИБО, КЭФИ.",энер.wav 257.24-258.70,08:57.0,1.46
168,6,Флур,— тебе помочь?,untitled.mp3 196.72-197.64,09:00.0,0.92
169,6,Кэфи,— нет.,кэфи.mp3 160.26-161.67,09:01.3,1.41
170,6,Энер,— Кэфи.,— пауза —,09:04.1,0.78
171,6,Кэфи,— я сам.,кэфи.mp3 162.58-163.79,09:05.2,1.21
172,6,Энер,— ты роняешь.,энер.wav 260.53-261.28,09:06.8,0.75
173,6,Кэфи,— я не роняю.,кэфи.mp3 164.89-165.97,09:07.9,1.08
174,6,Кэфи,— …я роняю.,кэфи.mp3 167.20-168.35,09:09.4,1.15
175,6,Кэфи,— помогите.,кэфи.mp3 170.53-171.60,09:11.6,1.07
176,6,Флур,— левее. ЛЕВЕЕ. другое левее!,untitled.mp3 198.55-201.51,09:13.5,2.96
177,6,Энер,— это право!,энер.wav 262.46-263.54,09:16.8,1.08
178,6,Флур,"— значит, право!",untitled.mp3 202.48-203.42,09:18.3,0.94
179,6,Энер,"(с ухмылкой) — ебать, аж помощи попросил",энер.wav 264.08-265.59,09:21.0,1.51
180,6,Кэфи,— не начинай... я сказал это один раз.,кэфи.mp3 172.94-176.10,09:22.9,3.16
181,6,Энер,— и я запомню на всю жизнь!,энер.wav 266.29-268.26,09:26.4,1.97
182,6,Кэфи,— спасибо.,кэфи.mp3 177.44-178.29,09:29.1,0.85
183,6,Флур,— вот теперь ты гаснешь по-хорошему?,untitled.mp3 204.22-206.39,09:30.6,2.17
184,6,Энер,"— заткнись, я растрогана.",энер.wav 271.29-272.86,09:33.2,1.57
185,6,Кэфи,"— я всё подключил. свет работает. занавес ходит. микрофона два, но… не уверен что оба работают (неловко посмеиваясь)",кэфи.mp3 179.19-187.75,09:35.4,8.56
186,6,Флур,— …и?,untitled.mp3 207.06-207.77,09:44.3,0.71
187,6,Кэфи,— и у вас есть полностью рабочая сцена.,кэфи.mp3 189.05-191.72,09:45.3,2.67
188,6,Энер,(с приподнятым настроением) — а номер?,энер.wav 273.82-274.72,09:48.4,0.90
189,6,Кэфи,— номера нет.,кэфи.mp3 192.55-193.99,09:49.6,1.44
d378,6,Энер,[смех],энер.wav 274.94-281.08,09:52.1,6.14
190,6,Флур,"— мы весь день чинили свет для номера, которого нет.",untitled.mp3 207.97-211.05,09:58.9,3.08
191,6,Кэфи,— свет пригодится.,кэфи.mp3 195.17-196.52,10:02.3,1.35
192,6,Флур,— КОМУ?!,untitled.mp3 212.11-212.92,10:04.0,0.81
193,6,Кэфи,— школе.,кэфи.mp3 197.81-198.66,10:05.2,0.85
194,6,Флур,— пиздец ты хозяйственный.,untitled.mp3 213.26-214.97,10:06.4,1.71
195,7,Флур,— Энер.,untitled.mp3 215.62-216.33,10:10.7,0.71
196,7,Энер,— м?,энер.wav 283.51-283.92,10:11.8,0.41
197,7,Флур,— посчитай со мной.,untitled.mp3 216.79-217.71,10:12.5,0.92
198,7,Энер,— …шесть.,энер.wav 284.71-285.39,10:14.1,0.68
199,7,Флур,"—семь. вон там, с краю.",untitled.mp3 218.38-220.59,10:15.1,2.21
200,7,Кэфи,— (вздох),кэфи.mp3 199.26-200.32,10:17.7,1.06
201,7,Энер,— это уборщица.,энер.wav 286.95-287.99,10:19.1,1.04
202,7,Флур,"— она сидит в зале, значит она зритель!",untitled.mp3 220.95-223.29,10:20.5,2.34
203,7,Энер,"— она сидит со шваброй, значит она ждёт, когда мы закончим!",энер.wav 289.66-293.87,10:23.2,4.21
204,7,Флур,— всё равно семь.,untitled.mp3 223.90-224.82,10:27.7,0.92
205,7,Энер,—восемь. вон тот маленький.,энер.wav 296.16-298.26,10:29.7,2.10
206,7,Флур,— это чей-то брат.,untitled.mp3 225.45-226.35,10:32.1,0.90
207,7,Энер,— он человек!,энер.wav 300.04-300.97,10:33.4,0.93
208,7,Флур,— он ест.,untitled.mp3 226.64-227.57,10:34.7,0.93
209,7,Энер,— я утеряла нить разговора..,энер.wav 302.61-304.11,10:36.0,1.50
210,7,Кэфи,"(с насмешкой) — сегодня твой день, флур",кэфи.mp3 200.96-202.76,10:38.1,1.80
211,7,Флур,"— это же хорошо, да? это же меньше стыда?",untitled.mp3 227.96-231.23,10:40.3,3.27
212,7,Энер,— это в двадцать раз меньше стыда.,энер.wav 307.04-308.87,10:43.9,1.83
213,7,Флур,— …тогда почему мне в двадцать раз хуже?,untitled.mp3 231.87-234.01,10:46.1,2.14
214,7,Энер,"— ну, их пересчитать можно.",энер.wav 311.82-313.98,10:48.5,2.16
215,7,Флур,"— так. так-так-так. давайте ещё раз проговорим, что мы делаем.",untitled.mp3 234.75-238.23,10:51.1,3.48
216,7,Энер,— мы выходим.,энер.wav 316.83-317.73,10:54.9,0.90
217,7,Флур,— это первое. а второе?,untitled.mp3 238.63-240.78,10:56.1,2.15
218,7,Энер,— мы… там разберёмся.,энер.wav 318.54-319.94,10:58.6,1.40
219,7,Флур,— ЭНЕР.,untitled.mp3 241.49-242.16,11:00.4,0.67
220,7,Энер,"-слушай, вот честно: половина всего хорошего в моей жизни случилась именно так. я выходила куда-то, не зная, что будет, и оно как-то само. у меня в жизни ни разу ничего не получилось по плану. вообще ни разу. я один раз составила план на день, и в этот день у меня сломался зуб.",энер.wav 320.95-334.29,11:01.4,13.34
221,7,Флур,— это не аргумент!,untitled.mp3 242.70-244.07,11:15.1,1.37
222,7,Энер,— это факт!,энер.wav 335.66-336.50,11:16.8,0.84
223,7,Флур,— скажи ей.,untitled.mp3 244.48-245.51,11:18.2,1.03
224,7,Кэфи,— у нас нет номера.,кэфи.mp3 204.06-205.59,11:19.5,1.53
225,7,Флур,— СПАСИБО.,untitled.mp3 245.69-246.90,11:21.4,1.21
226,7,Кэфи,— и уже поздно.,кэфи.mp3 206.32-208.05,11:23.0,1.73
227,7,Флур,— …в смысле «поздно»?,untitled.mp3 247.27-248.72,11:25.1,1.45
228,7,Кэфи,"— в смысле вам выходить.. сейчас... ну так, к слову.",кэфи.mp3 209.60-214.18,11:26.9,4.58
229,7,Флур,"слушайте. выйдите вдвоём. правда. вы справитесь, вы оба нормальные, вы вообще умеете быть людьми при людях. я тут постою. я вам похлопаю отсюда. это тоже участие.",untitled.mp3 249.78-261.15,11:31.9,11.37
230,7,Кэфи,— нет.,кэфи.mp3 216.21-216.92,11:44.7,0.71
231,7,Флур,— почему?,untitled.mp3 261.93-262.85,11:45.7,0.92
232,7,Кэфи,— взяли троих.,кэфи.mp3 219.78-220.93,11:47.0,1.15
233,7,Флур,"— так это же случайность, он вообще нас в коридоре поймал—",untitled.mp3 263.16-265.97,11:48.5,2.81
234,7,Кэфи,—проехали...,кэфи.mp3 222.75-223.73,11:51.4,0.98
235,7,Флур,— ебанарот,untitled.mp3 266.67-268.03,11:52.7,1.36
236,7,Энер,— это пошли?,энер.wav 338.72-339.47,11:54.4,0.75
237,7,Флур,— …это пошли.,untitled.mp3 269.15-270.26,11:55.5,1.11
238,7,Флур,— СТОЙ. а что мы играем-то?!,untitled.mp3 271.60-273.34,11:57.1,1.74
239,7,Энер,— СЦЕНКУ.,энер.wav 341.04-342.04,11:59.2,1.00
240,7,Флур,— ПРО ЧТО?!,untitled.mp3 274.48-275.24,12:00.6,0.76
241,7,Энер,"— Я ПРИДУМАЮ ПО ДОРОГЕ, ТУТ ЧЕТЫРЕ МЕТРА!",энер.wav 343.29-346.06,12:01.7,2.77
242,8,Энер,— …ты будешь дверью.,энер_правки_и_последняя_сцена.wav 1.27-2.29,12:07.0,1.02
243,8,Кэфи,— я не буду дверью.,кэфи.mp3 226.10-227.80,12:08.4,1.70
244,8,Флур,"— ребят, занавес.",untitled.mp3 275.70-277.43,12:10.5,1.73
245,8,Энер,"— это одна роль, тебе даже говорить не надо—",энер_правки_и_последняя_сцена.wav 2.74-4.30,12:12.5,1.56
246,8,Флур,— РЕБЯТ. ЗАНАВЕС.,untitled.mp3 278.64-279.84,12:14.2,1.20
247,8,Флур,— …привет.,untitled.mp3 281.01-282.10,12:17.9,1.09
248,8,Флур,— …спасибо.,untitled.mp3 282.61-283.79,12:20.0,1.18
249,8,Флур,всё. это всё. это конец. я умру здесь.,— пауза —,12:22.4,3.32
250,8,Энер,— ДОБРЫЙ ВЕЧЕР!,энер.wav 356.09-357.89,12:26.2,1.80
251,8,Энер,— добрый вечер. мы представляем сценку. (пауза) она называется…,энер.wav 359.47-366.17,12:28.7,6.70
252,8,Энер,(воодушевленно) — …«ДВЕРЬ».,энер.wav 366.97-367.70,12:36.0,0.73
253,8,Энер,— это глубокая работа.,— пауза —,12:37.3,1.94
254,8,Энер,"— Кэфи, встань там.",энер.wav 373.82-374.90,12:39.7,1.08
255,8,Кэфи,— я не буду дверью.,кэфи.mp3 229.05-230.66,12:41.1,1.61
256,8,Энер,— просто встань!,энер.wav 376.12-377.15,12:43.1,1.03
257,8,Кэфи,— я стою.,кэфи.mp3 232.61-233.78,12:44.5,1.17
258,8,Энер,— встань как дверь!,энер.wav 378.60-379.70,12:46.0,1.10
259,8,Кэфи,— …как?,кэфи.mp3 235.41-236.04,12:47.4,0.63
260,8,Кэфи,"я не помню, в какой момент я на это согласился.",кэфи.mp3 236.88-239.99,12:49.7,3.11
261,8,Флур,"— вот иду я, значит. домой.",untitled.mp3 283.95-287.20,12:53.6,3.25
262,8,Энер,— А ВОТ И Я!,энер.wav 381.77-383.64,12:57.2,1.87
263,8,Флур,— …а вот и ты.,untitled.mp3 288.31-289.67,12:59.4,1.36
264,8,Энер,— Я ТВОЯ СОСЕДКА!,энер.wav 384.70-386.63,13:01.2,1.93
265,8,Флур,— ты моя соседка.,untitled.mp3 290.99-292.81,13:03.4,1.82
266,8,Энер,— И У МЕНЯ ПРОБЛЕМА!,энер.wav 389.44-391.20,13:05.6,1.76
267,8,Флур,— …какая?,untitled.mp3 294.19-295.27,13:07.7,1.08
268,8,Энер,— у меня… не открывается дверь.,энер.wav 392.44-395.18,13:11.0,2.74
269,8,Флур,— …о нет.,untitled.mp3 296.40-297.41,13:14.1,1.01
270,8,Энер,— да.,энер.wav 398.15-398.75,13:15.4,0.60
271,8,Флур,— какой ужас.,untitled.mp3 298.07-299.75,13:16.4,1.68
272,8,Энер,— вот именно.,энер.wav 401.01-401.94,13:18.4,0.93
d527,8,Массовка,зритель: «это комедия или чего?»,— пауза —,13:20.7,2.71
273,8,Флур,— это про городское одиночество!,untitled.mp3 306.20-308.57,13:23.8,2.37
274,8,Флур,— …и про дружбу.,untitled.mp3 309.02-310.17,13:26.6,1.15
275,8,Флур,— …тоже.,untitled.mp3 310.29-310.86,13:28.3,0.57
276,8,Энер,"— вот она, дверь.",энер.wav 407.34-408.92,13:29.4,1.58
277,8,Энер,— видите? не открывается.,энер.wav 410.89-413.43,13:31.6,2.54
278,8,Кэфи,— тук.,кэфи.mp3 241.65-242.44,13:34.6,0.79
279,8,Энер,"— ОТКРОЙСЯ, ДВЕРЬ!",энер.wav 416.38-417.86,13:35.8,1.48
280,8,Кэфи,— нет.,кэфи.mp3 244.65-245.46,13:37.6,0.81
281,8,Энер,— ПОЧЕМУ?!,энер.wav 430.36-431.23,13:38.9,0.87
282,8,Кэфи,— заперто.,кэфи.mp3 247.36-248.39,13:40.1,1.03
283,8,Энер,— он говорит: ЕЩЁ!,энер.wav 436.48-438.14,13:42.3,1.66
284,8,Энер,— ОН ГОВОРИТ: ЕЩЁ ДВА РАЗА!,энер.wav 441.80-444.38,13:44.6,2.58
285,8,Энер,— НО Я НЕ СДАЮСЬ!,энер.wav 446.94-448.62,13:47.9,1.68
286,8,Флур,"— и я ей помогаю! потому что я, ну, сосед!",untitled.mp3 311.91-316.07,13:50.0,4.16
287,8,Энер,— МЫ ЛОМАЕМ ДВЕРЬ!,энер.wav 450.50-451.87,13:54.5,1.37
288,8,Кэфи,— не надо ломать дверь.,кэфи.mp3 251.59-253.34,13:56.2,1.75
289,8,Энер,— ДВЕРЬ НЕ РАЗГОВАРИВАЕТ!,энер.wav 457.20-459.56,13:58.3,2.36
290,8,Кэфи,— эта разговаривает.,кэфи.mp3 254.29-255.80,14:01.0,1.51
291,8,Флур,— она не поддаётся!,untitled.mp3 316.75-318.43,14:03.3,1.68
292,8,Энер,— она из хорошего дерева!,энер.wav 461.74-463.38,14:05.4,1.64
293,8,Кэфи,— я не из дерева.,кэфи.mp3 257.80-259.01,14:07.3,1.21
294,8,Энер,"— ДВЕРЬ, НЕ ПОРТЬ ОБРАЗ.",энер.wav 464.99-466.51,14:08.9,1.52
295,8,Флур,— …я в порядке. я даже не удивлён.,untitled.mp3 318.98-323.37,14:12.4,4.39
296,8,Кэфи,— стой—,кэфи.mp3 262.22-262.85,14:18.2,0.63
d592,8,Массовка,зритель: «ой»,— пауза —,14:20.1,1.25
297,8,Флур,— …алло?,untitled.mp3 324.72-325.58,14:22.4,0.86
298,8,Энер,— это я?,энер.wav 470.01-470.59,14:23.7,0.58
299,8,Кэфи,— это ты.,кэфи.mp3 265.43-266.26,14:24.7,0.83
300,8,Энер,— это я.,энер.wav 472.22-473.22,14:25.8,1.00
301,8,Энер,"— флур, включай фонарик",— пауза —,14:27.3,2.02
302,8,Энер,— кхм... ДВЕРЬ! Я ЖИВУ ЗДЕСЬ ВОСЕМЬ ЛЕТ!,энер.wav 474.75-479.34,14:29.7,4.59
303,8,Кэфи,— я тебя не знаю.,кэфи.mp3 268.92-270.25,14:34.6,1.33
304,8,Энер,— Я ПЛАЧУ ЗА КВАРТИРУ!,энер.wav 479.98-481.70,14:36.3,1.72
305,8,Кэфи,— это не ко мне.,кэфи.mp3 271.27-272.35,14:38.4,1.08
